id,line_position
70412,Pos. 4.0
75200,20_05
36450,1.0
45713,2
49263,9.0
49265,10.0
60281,3.0
51613,7.0
39256,4.0
35263,1.0
89854,1.0
67815,6.0
57916,2.0
49284,1.0
67740,Pos 6.0
76358,1.0
49259,4.0
32410,2
33266,4.0
62510,1.1
71678,11.0 / 11.1
70862,10.0
79827,Pos. 7.0
121908,6
49953,14.0
35580,1.1
44657,Pos. 151
75923,24.0
71681,21.0 / 23.0
78182,1.0
71356,Pos. 1.0
61707,2.0
58026,4
48890,Pos.3.0
47885,0.0c
78078,1.0
71748,42
68830,2.0
39564,1.0
56853,2
48152,2.1
35232,1
39258,7.0
34406,Pos.6.0
63234,1.1
65159,22.1
40916,Pos. 4.0
49268,50.0
58870,3.0
36199,210.1
42584,1
71729,30
78716,Pos 1
63272,3.2
63242,7.1
57953,1.0
49512,1
56976,6b
71726,30
71058,Pos. 4.0
69040,2.0
35491,2.0
36152,200.0
56088,1.0 / 2.0
55320,2.1
78406,3.0
66306,5.0
34362,3
73886,Pos 5.2
75921,23.0
40124,Pos 2.0
55379,4.0
45584,2.0
36384,Pos. 3.0
52685,5.3
55125,5.0
51608,3.1
54784,3.0
61957,5.0
65158,22
65954,Pos. 3.0
48695,Pos.1.0
49273,52.0
72967,1.0
53143,1
59068,3.1
56076,1.0
66013,Pos. 1
61965,16.0
77902,4.1
77589,10.0
63236,2.5
69953,13.0
42747,8.0
49285,2.0
34095,Pos.4.0
69529,23.0
78132,3.0
78374,1
76418,1.1
71745,42
121909,7
50723,2.1
59859,2-9
69381,3.0
52180,1.0
75438,2.0
76075,20_00
77032,2.0
49027,19
42468,50
121910,8
58556,1.0
69708,2.0
64839,1.1
50769,1.0
57915,1.0
58142,7.0
51607,2.0
63243,7.3
48151,1.2
41290,Pos. 1.0
45054,6.0 / 7.0
51848,1.3
51847,1.0
31871,3.0
41291,Pos. 1.5
121911,9
48485,11.0
69462,3.0
66281,24
63271,3.0
69660,1.1
71053,Pos. 1.0 & 2.0
54787,6.0
60246,50
66267,10.0
78183,1.1
77213,17.0
71682,22.0 / 24.0
43062,1.0
48115,1.0
57888,3.0
59067,3.0
67261,7.0
63033,4
37742,3.0
33602,Pos.3.0
70073,2.0
72988,4.0
70403,4.1
69303,4
63245,10.1
66557,2.0
50722,2.0
40984,1.0
57633,2.0
76015,3.1
76456,2.1 a & b
77663,68.0
69946,4.0
66279,22
68773,3.0
65745,2.0
120775,1
71716,3.0
76040,1.0
57791,Pos.1.0
52639,Pos 2.0
60991,2.0
77878,2.0
73709,1.0/2.0/3.0
42076,2
47249,1.2
49260,7.0
69493,6300
57793,Pos.4.0
52696,10.3
42734,1.0
43804,4.0
46230,Pos.2.0
72303,5.0
78894,1.0+2.0
39006,1.1
120776,2
35399,1.0
57355,17.0
120777,3
66663,position 3.0
58027,5
120778,4
76725,1.0
45813,1.0
53213,4.0
73955,1.5
66263,6.0
120779,5
63105,1.1
120780,6
120781,7
47184,1
49261,8.0
42986,Pos. 2.0
38952,020.0
76344,1.0
43875,3.1
47880,0.7a
54923,Pos 2.0
78500,2.2 + 3.2
78738,Pos. 3.0
31773,Pos.2.0
56563,4.0
54181,7.0
56977,7a
42979,210.0
41791,Pos.3.1
69593,1.0
69570,1.0 - 4.0
67806,5.0
73844,2.1
71736,40
73790,3.1
45585,2.0
62777,Pos 2.5
60744,2.0
50046,101
56987,16
40671,2.0
71486,1.1
70416,39.0
77900,2.0
69313,2.4
69983,6.0
63270,2.0
40822,7
56965,1a
40823,8
47882,0.3b
47906,1.0
33593,Pos. 3.0
75473,11.0
71730,30
120782,8
56858,6
51722,1.0
52421,Pos. 3.0
51624,1.0
66305,4.0
40824,9
66278,21
68844,2.0
50867,3
58591,Pos. 1.1
51632,5.0
31547,1.0
76892,Pos. 6.0
56958,2.0
78365,Pos.3
74325,15.1
75733,Pos. 4
77664,69
79038,70.1
56831,3.0
69380,2.0
65530,100.0
79453,1.0
63246,11.3
66938,8.0
58727,10.0
37749,11.0
59274,div.
51627,2.1
113654,4.0 + 5.0
53344,Pos.1.0
66097,Pos. 3.0
69517,4.5 & 6.5
40825,10
83922,2.0
49943,65.0
70252,2.0
77876,1.0
120783,9
50009,1.0
39845,Pos.15.0
47911,109
61636,3.1
40826,11
120784,10
45986,1.0
35401,3.0
54783,1.0
59064,1.0
66285,28
66284,27
40827,12
67809,1.0
65920,Pos 6.0
43901,2.0
40829,14
121770,1
54173,2.0
49893,1
120785,11
43805,5.0
40830,15
76317,31.0
68322,3.0
68212,143
63254,8.1
68210,141
54670,1.0
57933,1
44972,3.2
69519,9.5
69531,8.5
65997,1.0
71728,30
72822,Pos. 20.0
78362,Pos 1.2
40831,16
66277,20
69954,14.0
42263,2.0
41770,1 & 1.1
47248,1.1
120786,12
57647,1.0
52359,5.0
78270,2
73343,Pos. 6.0 + 8.0
71770,1.0
74694,2.0 / 3.0
120787,13
69898,71.0
66271,14.0
68214,120-121
47320,2.0
120788,14
71749,42
49266,5.0
46806,2.1
47908,3.0
120789,15
57687,1.1
51139,1
73020,1
67810,109
42735,2.0
57678,1.0
50604,9.0
33607,Pos.7.0
120790,16
56974,5b
55104,3.0
53166,5
74057,100
74310,2.0
120113,1.0
120114,2.0
40832,17
60173,1.0
66464,1.2
64106,1.0
66286,29
76511,17.03
73954,1.0
40833,18
56019,Pos.1.0
51726,4.0
52693,9.0
67687,16.1
71722,20 / 21
32692,Pos. 1.0
51625,1.1
121771,1
76502,Pos. 1.0 + 1.5
42985,Pos. 1.0
40151,4.0
45591,1.0
49264,10.0
67738,Pos 4.0
69622,5.0
120791,17
31872,4.0
54788,2.0 + 3.0
59276,03
40777,40
42262,1.0
70171,Pos. 1.0
62776,Pos 2.5
121772,2
72723,3.0
46030,9.0
41519,3.0
33573,6.0
35581,3.0
71755,54 / 57
78363,Pos. 2
69345,1.1
66282,25
52358,4.0
59100,4.0
71772,3.0
78825,Pos. 2
35054,1
47656,1.0
47349,2.0
65388,2
99876,8.0
120792,18
61662,3.1
67813,4.0
49941,60.0
44352,1
34658,2.0
121773,3
99604,Pos. 2
38380,1.0
37747,9.0
57696,2.0
54414,2.0
53491,1
121774,4
69899,200 - 207
66667,position 14
91209,1
40834,19
32412,2.0
68774,4.0
51147,Pos.1.0
57833,7.5
58854,21.0
56830,1.0
56637,2
59066,2.1
48686,6
47652,1.0
33272,10.0
41772,10
52692,8.3
59101,6.0
40836,21
47921,1
66304,3.0
36090,Pos.5.0
52361,109
59096,1.0
58855,22.0
51614,8.0
120793,19
47325,6.0
40896,1.0
62737,1.1
58878,12.0
52681,3.3
56635,1
40775,10 / 20
69969,4.0
69737,1.0
47886,0.0d
54785,2.0
54826,2.0
121775,5
40356,Pos 1.0
68816,1.1
39312,9.0
55407,2.0
49271,51.0
42996,14.0
46228,Pos.1.0
47185,2
120705,1.2
58162,"3 , 4, 5"
66650,23.0
53142,1.0
51634,7.0
66993,1.0 - 3.0
106095,2.0
56966,1b
33269,7.0
31822,Pos.1.0
67739,Pos 5.0
66647,20.0
69947,5.0
64107,2.0
58168,3.1 + 5.1
63273,4.0
35064,2.0
52102,2
56616,1.0
58559,1.3
53209,2.0
69616,1.0
120706,3.2
33569,2.0 / 3.0
120794,20
120795,21
50857,Pos.1.0
109675,11
84198,4.0
87438,9.0
80814,Pos. 111
65916,POs 3.0
68320,1.0
56622,5.0
69704,1.0 + 2.0
120796,22
52695,10.0
52380,3.0
83646,1.0
83629,1.0
85957,1.0 + 3.0
35185,Pos.8.0
55103,2.0
56944,3.0
120797,23
88820,Pos. 5.0
86304,5.0
34659,3.0
99049,1.0
63252,5.1
69942,2.0
60990,1.0
82427,1.0
90378,12.0
99387,1.0
56633,3
86382,2.0
86743,3.1
86643,2.1
82131,4.0
69580,1.1
61958,6.0
56833,7.0
54789,1.0
88548,Pos. 4.0
83806,1.1
68775,4.1
80051,4.0
83103,4.0
81328,5.0
34103,Pos.5.0
59275,09
59861,2-9
51791,Pos.1.0
52961,Pos 11.0
59065,2.0
99003,4.0
69348,5.0
69444,Pos. 12.0
82146,2.0
64536,1.0
97304,4.0
91503,8.0
86409,6.0
83119,10.0
57725,1.0
85636,5.0
68782,Pos. 1.0
111892,10.4
99313,5.0
31932,2.0
33608,Pos.8.0
38955,020.7
91569,1.0
53339,5.0
34728,Pos.4.0
51610,5.0
80904,Pos. 100.1
82320,1.0 + 2.0
57777,1.0
52656,6.0
56854,3
99365,4.0
99148,1.0
99356,5.0
52654,6.0
58869,1.0
99002,3.0
99297,1.0
81320,1.0
83637,1.0
35345,Pos.7.0
31725,Pos. 1.0
60728,1.0
68829,1.0
86590,Pos. 6.0
98970,4.0
90327,330
90382,20.0
98968,2.0
31733,1.0
69931,10
