id,page_break,position
72091,f,
72093,f,
300852,f,1.1
72094,f,
72096,f,
80284,f,
80285,f,
80287,f,
80288,f,
80290,f,
80291,f,
80293,f,
80295,f,
80297,f,
80299,f,
80300,f,
80302,f,
80303,f,
80305,f,
32134,,4
32172,,0.5
32175,,4
32176,,5
32177,,6
318177,f,
51645,f,
318178,f,
51647,f,
80306,f,
80308,f,
80309,f,
80311,f,
80312,f,
80314,f,
80315,f,
80317,f,
80318,f,
80320,f,
80322,f,
80330,f,
80331,f,
80332,f,
80333,f,
80334,f,
80335,f,
51711,f,
51712,f,
51713,f,
51724,f,
51726,f,
51727,f,
51730,f,
51732,t,
51733,f,
51734,f,
51736,f,
340052,f,1
51738,f,
51740,f,
61461,f,
61462,f,
61463,f,
61464,f,
61465,f,
61466,f,
61467,f,
61468,f,
61470,f,
61471,f,
61472,f,
72128,f,
72129,f,
72130,f,
72137,f,
72115,f,
72116,f,
72117,f,
72119,f,
72120,f,
72121,f,
72151,f,
72155,f,
72156,f,
72158,f,
72161,f,
72162,f,
72163,f,
61486,f,
61487,f,
61499,f,
339316,f,
32243,,Montage pos. 1
32246,,Montage pos. 2
51741,f,
51742,f,
51763,f,
51764,f,
51786,f,
51765,f,
51766,f,
51780,f,
51781,f,
51782,f,
51783,f,
51784,f,
51785,f,
73145,f,
80337,f,
80353,f,
72181,f,
51796,f,
51797,f,
51798,f,
51847,f,2
51853,f,3
51854,f,4
32249,,Montage pos. 3
32252,,Montage pos. 4
32255,,Montage pos. 5
32258,,Montage pos. 6
32261,,Montage pos. 7
32266,,Montage pos. 9
32275,,Montage pos. 13
61517,f,
339019,f,
61519,f,
61521,f,
61523,f,
61524,f,
331111,f,
61530,f,2
61531,f,
61532,f,
61533,f,
61539,f,
80354,f,
80355,f,
80366,f,
80370,f,
80371,f,
80373,f,
80375,f,
80376,f,
80379,f,
80380,f,
318181,f,
80382,f,
80383,f,
80384,f,
80385,f,
80386,f,
61604,f,
80387,f,
80388,f,
80389,f,
80399,f,
80400,f,
61549,f,
61558,f,
61560,f,
61561,f,
61562,f,
61563,f,
61564,f,
61568,f,
61569,f,
318187,f,
61573,f,
72221,f,
72227,f,
61601,f,
72228,f,
72229,f,
72230,f,
72231,f,
72232,f,
72233,f,
72234,f,
72237,f,3.0 + 4.0
61584,f,
61591,f,
61592,f,
61593,f,
61594,f,
61595,f,
61596,f,
61597,f,
61605,f,
61598,f,
61599,f,
61600,f,
72238,f,6.0 + 7.0
72239,f,1.0 + 5.0
72240,f,2.0
72243,f,
318188,f,
72245,f,
72246,f,
72247,f,
72248,f,
72250,f,
72251,f,
72252,f,
72253,f,
72254,f,
72256,f,
72258,f,
72260,f,
72261,f,
72262,f,
72263,f,
72264,f,
51857,f,
51858,f,
51859,f,
51861,f,
51862,f,
51863,f,
51865,f,
51871,f,
51872,f,
51873,f,
74687,f,
80401,f,
80402,f,
80403,f,
80404,f,
80412,f,
80413,f,
80414,f,
80415,f,
80416,f,
80417,f,
80426,f,3
80427,f,4
80428,f,
80429,f,
80430,f,4
80431,f,
80432,f,
80433,f,
80434,f,
83195,f,
339020,f,
342632,f,
80435,f,
80436,f,
80438,f,
80453,f,
80454,f,
80455,f,
80456,f,
80457,f,
80462,f,
61602,f,
61603,f,
61606,f,
61607,f,
61608,f,
61609,f,
61611,f,
61613,f,
61615,f,
61618,f,
344625,f,
61621,f,
61622,f,
61623,f,
213221,f,
72328,f,
72329,f,
72331,f,
51915,f,
51916,f,
61627,f,
61628,f,
61629,f,
61630,f,
200105,f,1.0
61632,f,
200109,f,
61635,f,
61636,f,
61639,f,
61640,f,
61641,f,
61644,f,
61645,f,
61646,f,
61648,f,
61649,f,
51888,f,
51889,f,
51890,f,
51892,f,
51895,f,
51897,f,
51898,f,
51900,f,
51901,f,
51902,f,
51903,f,
51904,f,
51906,f,
51908,f,
51911,f,
51914,f,
46011,f,
200110,f,
61660,f,
61661,f,
61664,f,
61665,f,
61666,f,
61667,f,
61668,f,
61669,f,
61670,f,
342735,f,
61672,f,
51917,f,
72335,f,
72336,f,
72337,f,
72338,f,
72339,f,
72341,f,
72342,f,
72344,f,
72345,f,
