id,line_position
45257,2.0
35748,1.1
65516,1.0
75220,1.0
35809,1.0
35810,2.0
35834,Pos. 1.0
35836,1.0
35837,2.0
35838,1.1
75342,3.0
65519,1.0
65520,2.0
65522,2.0
45304,1.0
45305,1.0
45306,1.0
45310,2.0
45311,2.0
45312,2.0
45341,2
45367,3
45369,4
54756,7.0
54760,1.1
54784,2.0
54785,3.0
54786,4.0
45431,1.0
45444,1
45446,5
45447,9.0
35944,Pos. 2.0
35951,1.0
35952,2.0
35973,50
35919,1
45468,2
45486,9.0
45609,3
45619,1.0
54832,Pos 2.0
54833,Pos 1.0
54853,3.0
54858,3.0
54860,3.0
36076,3.0
65524,2.0
65533,1.0
65534,2.0
65550,1.0
65551,2.0
65555,5.0
65566,5.1
65568,109
65708,1.0
65710,2.0
65712,4.0
65714,3.0
75416,"2.0, 3.0 & 4.0"
75419,17.0
75422,17.1
75423,3
75424,4
75427,7.0
75430,5.0
45642,200.0
65721,1.0+2.0
65722,1.0
65723,2.0
65724,3.0
65725,4.0
65726,1.0
36229,2.0
36237,1.0
75493,1.0
45733,1.0
45737,1.0
65748,Pos.15.0
65857,3.0
65858,5.0
65871,1.0
65872,1.0
65873,1.0
65938,1.0
65941,12
65943,1.0 - 4.0
36406,Pos.6.0
36422,3.0
36433,2.1
36486,4.0
36487,4.2
36495,1.0
75537,4.0
75549,1
75592,1.0
75596,1.0
75653,1.0
75655,1.1
75657,1.0
75659,1.1
75661,1.0
75664,1.1
55068,10.1
55072,1.0
55076,1.0
55077,3.0
55078,3.1
55240,5.1
55242,5.0
55246,7.0
45819,Pos.3.0
65958,1
65959,2
65967,7.0
65980,3.1
65987,4.1
65990,Pos. 1.0+2.0
66062,15.1
55271,1
55282,1.0
55283,3.0
55288,2.0
55289,3.1
45850,0.1b
45851,0.3b
45852,0.5b
45853,0.6b
45854,1.0
66073,Pos. 5.0
66125,Pos. 20.0
66127,Pos. 6.0 + 8.0
66130,Pos. 7.0
55311,6.0
55320,6.0
55339,4.0
55342,2.0
55347,2.0
55356,30
55360,31
55363,50
75667,5.0
75682,Pos. 4.0
75685,1.0
75686,2.0
75709,Pos. 4.0
36638,Pos. 1.0
36639,Pos. 2.0
75774,7.0
75775,10.0
45887,1.0
45906,Pos.1.0
45926,3
66179,1.3
66196,4.0
66237,2
66238,4
66239,5
66240,3
75957,1.0
75974,"2.0,3.0 & 4.0"
55381,Pos.2.0
55416,15.1
55418,5
36686,6.0
36687,7.0
36691,1.0
36693,1.0
36697,Pos. 2.0
36709,1.0
66281,1.0
66313,5.0
66319,1.0
66320,4.0
66321,10
66322,30
45937,1.0
46000,0.2t
55492,1.0 / 2.0
55533,2.0
55534,3.0
55535,5.0
55536,6.0
55537,7.0
55538,8.0
55539,15.0
55598,2-5
55634,1.0
55638,6b
55658,3.0
55659,3.1
55660,1.2
76150,3 Ersatz
76153,3.0
76156,1.0
76157,"2.0, 3.0 & 4.0"
76158,5.0
76173,Pos. 11.0
76248,3.0
76250,Pos. 7.0
46019,1.0
46102,1
46132,Pos.8.0
46138,Pos 1.0
46142,1.0
46147,Pos 1.0
46148,Pos 5.0
46149,Pos 10.0
46154,6.0
46155,9.0
46156,Enseigne intérieur
55687,4.0
55688,7.0
76266,6.0
76267,4.0
76268,3.0
76269,5.5
76270,5.0
76271,7.0
46168,0.4a
46169,0.6a
46170,0.7a
46171,0.0c
46172,0.0d
46198,2
76346,2.0
76347,2.0
76349,2.0
76350,1.0
76351,2.0
76352,4.0
76353,8.0
76354,9.0
76355,11.0
76376,2.0
76377,2.5
76378,3.+4.0
76379,6.0
76380,6.5
76381,7.0
76382,7.5
66331,80 - 82
66333,1.1
66345,Pos. 1.0
66346,Pos. 2.0
66347,1.0 - 1.1
66348,2.1 - 2.2
66349,3.1
66352,16-20
66353,3.0
66408,Pos. 5.0
66410,10.0
36739,1.0
36740,2.0
36743,Pos 1.0
36744,Pos 1.1
36745,Pos 2.0
36746,2.1
36747,Pos 3.0
36748,2
36749,Pos 4.0
36750,020.0
36752,Pos 2.0
36795,1.0
36796,1.0
36797,2.0
46324,2.0
46359,1.0
46360,2.0
46361,3.0 & 7.0
46362,4.0
46363,5.0
46364,6.0
46365,1.3
46366,1.0
46381,1.0
36822,Pos.1.0
36853,Pos.1.0
36856,Pos. 1.0
36861,Pos. 1.0
55755,1.0 + 2.0
76474,Pos. 2.0
76476,6.0
76477,6.0
66469,1.0
66470,2.0
66471,4.0
66472,5.0
66473,6.0
66486,2
66487,1
46565,2
46566,1.0
36965,2.0
36994,1.0
36995,2.0
36996,3.0
66616,Pos.5.0
66617,Pos.6.0
66618,Pos.7.0
66619,Pos.9.0
66628,20 / 21
66629,20 / 21
66696,4.0
66697,6.0
66708,Pos. 2.0
37033,1.0
37034,2.0
37040,1.0
46581,1.0
46662,1.0
46685,Pos 2.0
66811,3.0
46704,1
37218,2.0
46728,3.0
46730,6.0
55909,A1
66820,100
66852,11.0
66853,12.0
66854,13.0
66855,14.0
66856,15.0
66857,65.0
66858,66.0
66862,1.0 + 3.0
66863,2.0
66864,6.0
66865,1.0
66866,10.0
66867,11.0 / 11.1
66881,5.0
66912,40 / 41
66916,1.0
66921,2.0 / 3.0
66922,2.1
66925,3.0
66926,4.0
66927,Pos. 3.0
66928,130.0
66929,1.0 & 2.0
66933,Pos. 30.0
66942,5.1
37274,1.0
76710,3.1
76716,1
46999,1.0
47000,4.0
47001,110.0
47002,5.0
47003,110.1
46778,1
46779,2
46939,109
46973,3.2
46978,Pos 11.0
66956,54 / 57
66958,Pos. 1.0
66959,Pos. 2.0
55917,1.2
55918,7.2
37318,1.0
37337,1.0
37349,1.0
56006,1.0
56013,2.0
56014,1.0
37379,020.1
37380,0.20.3
37381,1
56061,1.0
76737,1.0
76740,Pos.110.1
76831,10.0
56083,1
56101,5.1
56127,Pos. 6.1
47026,1
47032,1.0
47033,2.0
47034,3.0
47035,4.0
47103,2.0
47104,3.0
37392,2.0
37395,090.0
37397,080.0
37417,1.0
37418,1.2
37419,1.3
37420,2.0
37421,2.2
37422,2.3
37423,4.0
37424,4.3
37436,020.7
37446,200.0
67009,1.0
67163,50.0
67164,60.0
67165,61.0
67166,39.0
67177,Pos. 1.0
76869,3.0
76906,5.0
76922,1.0
47193,9.0
47194,10.0
47195,20.0 - Suppl. locataires
47231,10 + 20
76933,1.0
76937,2.0
47249,2.1
37463,2.1.3
37464,2.1.1
37465,2.1.2
37466,1.0
37467,2.0
56241,1.1
56255,1.0
56259,1.0
56260,1.0
56261,1.0
56262,2.0
56263,2.0
56265,1.0
56266,2.0
56267,2.0
47323,1.0
47324,2.0
47325,3.0
47326,4.0
47328,8.0
47329,9.0
47330,10.0
47331,Pos 3.0
47332,Pos 4.0
47335,1
47336,2
47339,Pos 2.0
47369,2
37621,1.0
37622,2.0
37623,3.0
37670,1.0
37689,1.0
37690,2.0
37691,1.0
47261,1
47267,4.0 + 5.0
47305,1.0
47306,2.0
77053,6.5
77090,1.0
77095,4.0
77096,(3.0)
77097,(5.0)
56268,2
56271,1.0
56272,2.0
56278,Pos.6.0
56294,Pos 2.5
56295,Pos 2.5
56296,Pos 2.5
56297,1
56299,1
56301,1
56309,1
56313,2.0
77000,1.0
77015,1.1
77016,1.0
77017,2.0
77018,Pos. 3.0 + 10.0
77023,1.1
77036,Pos. 6.0
77043,1.0
77044,1.0
37722,1.0
37769,2.2
47475,2.0
47476,3.0
47507,1.0
56320,4.1
56325,14.0
56328,1.0
56330,2-9
56331,2-9
56332,2-9
56338,8.8
56339,1
56340,8
37836,210.0
37837,210.1
37838,210.0
37853,Pos.4.0
37854,Pos.5.0
77112,1.0
56346,4.1 + 5.1
56347,3.0
56348,5.0
56349,11.0
56350,12.0
56351,13.0
56354,10.0
77255,21.05
47551,1
47589,1
56384,3.0
67410,3.0
56385,3.0
77266,Pos. 2.0
67412,2.0
67455,Pos. 1.0
67486,230 / 231
67533,2.4
37882,1.0 - 4.0
37918,1.0
77370,1.0
77371,2.0
77372,3.0
77379,2.5 + 4.5
77380,4
56480,Pos.8.0
67586,1.0
67587,5.0
67588,6.0
67609,Pos. 8.0
67610,Pos. 20
37993,1.0
56521,1
56522,2+5+11
56581,3.0
56582,4.0
56585,6.0
56600,9.0
56601,10.0
56602,6
56606,1.0
77440,Pos. 2.0
77441,Pos. 10
77442,Pos. 14
77443,Pos. 15
77444,Pos. 17
77445,Pos. 30
77446,Pos. 35
77447,Pos. 100
77448,Pos. 100.1
77449,Pos. 101
77450,Pos. 101.1
77451,Pos. 102
77452,Pos. 102.1
77453,Pos. 103
77454,Pos. 103.1
77456,3.0
77457,4.0
67686,4
67736,1.1
67753,3.1
67786,1.1
67789,200 - 207
67795,3.0
67796,4.0
67797,2.0
38006,2.2.1
56629,2.1
56633,7.0
56634,1
56635,4
56637,5
56638,6
56639,7.1
47776,5.0
67835,Pos. 30.0
67867,Pos. 3.0
67874,2.0
67893,10.1
67895,65.0
77460,1.0 / 3.0
77466,1.0
77467,2.0
77468,2.1
77578,2.0
77579,1.0
38144,2.0
38145,3.0
38162,5.0
47870,1.0
47871,2.0
47872,3.0
47873,4.0
47874,5.0
47875,6.0
47876,7.0
47877,8.0
77589,Pos. 4.0
27517,80
27518,110
27519,130
27520,150
27523,6.0
56695,1.0
77634,1.0
77635,2.0
77636,3.0
77639,2.0
77640,3.0
77641,4.0
77642,5.0
38313,Pos 1.0
38317,4.3
77647,Pos. 1.0
77655,Pos. 80 Haupteingang
77665,1.0
38329,4.0
77692,2.0
38354,1.0
38358,Pos. 3.0
68018,Pos. 1.0
38390,Pos.2.0 Façade
77709,Pos. 1
77710,Pos. 12.0
77711,Pos. 32
77712,6.0
38391,Pos.8.0
27526,1
27542,20.1
27543,1
27596,Pos.1.0
27598,Pos.2.0
56736,6.0
56737,2
